iter	Passed	Remaining
0	137	109826
1	153	61395
2	177	47280
3	205	40947
4	227	36132
5	241	31934
6	262	29792
7	283	28060
8	302	26605
9	323	25551
10	344	24743
11	361	23766
12	394	23897
13	416	23401
14	438	22943
15	450	22084
16	471	21713
17	489	21284
18	512	21045
19	534	20854
20	555	20601
21	577	20431
22	599	20259
23	621	20093
24	641	19900
25	663	19739
26	685	19619
27	705	19456
28	739	19658
29	781	20066
30	805	19987
31	827	19857
32	847	19704
33	868	19564
34	892	19496
35	916	19456
36	937	19341
37	958	19227
38	981	19155
39	1005	19108
40	1026	19009
41	1060	19134
42	1073	18889
43	1093	18780
44	1113	18685
45	1134	18599
46	1155	18504
47	1174	18404
48	1194	18308
49	1207	18105
50	1226	18013
51	1247	17948
52	1256	17709
53	1276	17636
54	1298	17594
55	1319	17534
56	1340	17473
57	1362	17424
58	1383	17378
59	1413	17439
60	1435	17390
61	1469	17494
62	1505	17612
63	1528	17576
64	1549	17522
65	1569	17457
66	1582	17317
67	1605	17278
68	1641	17388
69	1683	17554
70	1711	17568
71	1734	17535
72	1757	17501
73	1779	17455
74	1812	17520
75	1854	17665
76	1898	17829
77	1922	17795
78	1946	17763
79	1980	17827
80	2001	17768
81	2019	17679
82	2037	17600
83	2047	17452
84	2068	17399
85	2089	17344
86	2110	17294
87	2131	17242
88	2165	17299
89	2186	17248
90	2209	17215
91	2234	17192
92	2255	17146
93	2276	17095
94	2308	17129
95	2329	17082
96	2350	17036
97	2360	16908
98	2377	16834
99	2400	16802
100	2421	16760
101	2443	16721
102	2464	16678
103	2487	16644
104	2509	16609
105	2518	16486
106	2539	16447
107	2559	16401
108	2580	16361
109	2603	16329
110	2625	16299
111	2661	16347
112	2687	16340
113	2712	16321
114	2737	16304
115	2764	16301
116	2789	16282
117	2811	16251
118	2836	16231
119	2859	16204
120	2894	16245
121	2921	16233
122	2945	16209
123	2966	16171
124	3002	16214
125	3038	16253
126	3059	16215
127	3082	16182
128	3104	16149
129	3126	16114
130	3162	16149
131	3186	16127
132	3209	16095
133	3258	16193
134	3282	16167
135	3316	16193
136	3338	16156
137	3373	16182
138	3394	16141
139	3404	16051
140	3413	15953
141	3448	15978
142	3469	15940
143	3483	15867
144	3492	15774
145	3513	15739
146	3531	15689
147	3556	15666
148	3567	15588
149	3591	15563
150	3611	15520
151	3635	15499
152	3660	15480
153	3680	15438
154	3714	15458
155	3764	15542
156	3788	15514
157	3805	15463
158	3827	15430
159	3850	15402
160	3873	15374
161	3895	15343
162	3919	15316
163	3942	15289
164	3964	15256
165	3984	15217
166	4004	15177
167	4024	15139
168	4059	15156
169	4079	15117
170	4101	15087
171	4124	15059
172	4157	15067
173	4180	15038
174	4201	15006
175	4252	15076
176	4272	15037
177	4297	15016
178	4330	15023
179	4350	14985
180	4371	14948
181	4392	14914
182	4413	14878
183	4435	14850
184	4469	14857
185	4489	14820
186	4511	14788
187	4531	14752
188	4551	14715
189	4585	14723
190	4599	14665
191	4632	14669
192	4652	14633
193	4672	14595
194	4693	14561
195	4714	14527
196	4760	14572
197	4793	14573
198	4802	14502
199	4821	14465
200	4843	14433
201	4863	14398
202	4868	14318
203	4887	14280
204	4901	14226
205	4921	14190
206	4943	14160
207	4964	14129
208	4973	14064
209	5021	14106
210	5031	14044
211	5063	14043
212	5083	14009
213	5103	13975
214	5124	13944
215	5133	13879
216	5179	13914
217	5195	13871
218	5229	13873
219	5250	13843
220	5272	13813
221	5284	13759
222	5297	13707
223	5318	13675
224	5356	13688
225	5386	13680
226	5428	13703
227	5457	13690
228	5479	13663
229	5514	13667
230	5536	13638
231	5559	13611
232	5580	13581
233	5598	13542
234	5632	13543
235	5658	13522
236	5678	13490
237	5699	13459
238	5722	13431
239	5755	13428
240	5776	13398
241	5797	13368
242	5832	13369
243	5853	13338
244	5874	13307
245	5894	13274
246	5914	13242
247	5936	13213
248	5956	13181
249	5970	13134
250	5990	13102
251	6010	13069
252	6029	13036
253	6050	13006
254	6085	13006
255	6120	13006
256	6144	12981
257	6157	12936
258	6179	12907
259	6202	12882
260	6222	12851
261	6243	12819
262	6263	12789
263	6287	12765
264	6325	12769
265	6352	12752
266	6374	12725
267	6395	12696
268	6421	12675
269	6442	12646
270	6464	12618
271	6485	12589
272	6506	12559
273	6526	12529
274	6547	12500
275	6569	12472
276	6589	12441
277	6611	12413
278	6632	12384
279	6652	12354
280	6672	12324
281	6693	12294
282	6714	12265
283	6734	12235
284	6772	12238
285	6795	12213
286	6817	12185
287	6838	12156
288	6859	12127
289	6893	12122
290	6916	12098
291	6941	12076
292	6979	12077
293	7003	12054
294	7035	12043
295	7066	12031
296	7095	12016
297	7122	11998
298	7155	11989
299	7185	11975
300	7209	11952
301	7229	11922
302	7250	11893
303	7271	11863
304	7305	11857
305	7326	11828
306	7347	11799
307	7368	11770
308	7388	11739
309	7409	11711
310	7429	11681
311	7450	11653
312	7471	11625
313	7492	11597
314	7527	11589
315	7547	11560
316	7567	11531
317	7589	11503
318	7610	11474
319	7631	11447
320	7655	11423
321	7691	11417
322	7713	11390
323	7733	11362
324	7755	11335
325	7777	11307
326	7799	11281
327	7821	11255
328	7842	11228
329	7863	11199
330	7884	11172
331	7918	11161
332	7940	11136
333	7962	11108
334	7996	11099
335	8017	11072
336	8039	11045
337	8059	11016
338	8080	10988
339	8100	10959
340	8121	10931
341	8144	10906
342	8168	10883
343	8191	10857
344	8212	10830
345	8233	10803
346	8270	10796
347	8292	10770
348	8326	10760
349	8348	10733
350	8383	10723
351	8406	10699
352	8440	10688
353	8462	10661
354	8484	10635
355	8506	10609
356	8528	10582
357	8549	10555
358	8571	10529
359	8592	10502
360	8614	10475
361	8653	10470
362	8690	10462
363	8712	10436
364	8746	10423
365	8768	10397
366	8788	10368
367	8808	10340
368	8830	10313
369	8851	10286
370	8871	10257
371	8891	10229
372	8929	10221
373	8951	10195
374	8972	10168
375	9004	10154
376	9024	10126
377	9046	10099
378	9067	10072
379	9088	10045
380	9110	10019
381	9131	9992
382	9154	9966
383	9175	9940
384	9209	9926
385	9245	9915
386	9278	9902
387	9312	9888
388	9333	9861
389	9354	9834
390	9375	9806
391	9397	9781
392	9418	9753
393	9438	9726
394	9473	9713
395	9496	9688
396	9518	9662
397	9540	9636
398	9562	9610
399	9597	9597
400	9619	9571
401	9640	9544
402	9661	9517
403	9682	9490
404	9702	9462
405	9722	9434
406	9743	9408
407	9764	9382
408	9785	9354
409	9806	9327
410	9839	9312
411	9873	9298
412	9894	9271
413	9915	9244
414	9935	9217
415	9956	9190
416	9978	9164
417	9998	9137
418	10019	9111
419	10039	9083
420	10059	9056
421	10079	9028
422	10099	9001
423	10119	8974
424	10139	8946
425	10160	8920
426	10181	8893
427	10213	8877
428	10234	8850
429	10256	8825
430	10291	8810
